Country ,Year ,Training,Employment_incentives,Supported_employment_&_rehbilitation,Directed_Job_Creation,Start-up_incentives
Hungary,2006,55.20,76.93,0.00,91.82,2.70
Hungary,2007,58.89,100.05,0.00,102.11,4.12
Hungary,2008,68.43,109.17,0.00,94.59,6.76
Hungary,2009,45.31,84.01,0.00,222.59,5.60
Hungary,2010,48.11,99.40,0.00,378.46,8.49
Hungary,2011,26.06,98.29,0.00,216.50,8.37
Hungary,2012,3.41,126.89,0.00,455.31,5.23
Hungary,2013,2.35,121.83,0.00,574.53,5.50
Hungary,2014,1.37,60.95,0.00,730.37,7.42
Hungary,2015,15.72,39.22,0.00,816.51,4.75
EU,2006,24378.90,14185.82,8401.87,7635.50,4718.76
EU,2007,23366.40,13600.50,9211.81,7807.77,4256.49
EU,2008,23578.02,12981.04,10062.89,6971.74,4122.64
EU,2009,27276.76,13608.73,10474.32,6969.71,4411.77
EU,2010,26690.62,15631.23,10869.29,8389.65,5392.03
EU,2011,25066.09,13897.73,10452.20,5905.17,4642.32
EU,2012,24072.74,12751.19,10534.29,5907.63,3574.44
EU,2013,24627.02,11370.34,10707.32,6544.10,2813.02
EU,2014,24864.93,11617.77,10867.66,8239.66,2903.73
EU,2015,24998.62,12906.54,11335.07,8674.48,2729.87
